RESDATE,RESCOL,BIDCITY,MONTH,PSTALP,BSTATUS,FAILMON,PO_COST,COST21,COST22,BSTATDT,COST20,TERMDATE,BIDNAME,RESTYPE_II,FAILDATE,RESTYPE1,CHCLASS1,FSL_PROG,BRCERT,CERT,BRDOCKET,COST07,COST08,COST09,L_REPDTE,FRAUD,COST03,COST04,COST05,COST06,RSSDID,COMMENTS,BIDCERT,COSTMOSTRECENTASOF,QBRASSET,URL,RESLOS,MONTHTXT,QBFASSET,QBFEQ,TXHC,QBREQ,COST00,COST01,BIDDOCK,COST02,COST18,COST19,RESCOST,ATFIN,COST14,COST15,COST16,COST17,CITY,R_UPDATE,FAILTXT,COST10,COST98,COST11,COST99,COST12,COST13,COST95,DAY,COST96,COST97,QBFDEP,CLOSCD,FIN2,RESEQ,RESTYPE,CITYST,RESDEP,RESPUT,PTRDATE,COSTMOSTRECENT,FAILDAY,INCTDT,TERMI,FAILYR,DOCKET,RESABAL,RESTYPE_OLD,BANKNO,RESPASS,SAVR,NAME,LOSSSHARE,FAILQTR,BRDATE,BIDSTATE,CROSSS,OBA,COST,UNINSDEP,RESASSET,CHCLASS,FUND,RESADJ,FIN,QBRDEP,CROSS,ID
45047,0,COLUMBUS,,CA,,5,16239227,,,,,,"JPMORGAN CHASE BANK, N.A.",,5/1/2023,PA,NM,,,59017.0,,,,,,,,,,,4114567,,628,45046,212638872,,0,,212638872.0,17445927,,17445927,,,,,,,13606316,,,,,,SAN FRANCISCO,,,,,,,,,,,,,176436706.0,,10543,1/0/1900,FAILURE,"SAN FRANCISCO, CA",0,0,,,,,,2023,,0,,,0,DIF,FIRST REPUBLIC BANK,1,2,,OH,,0,,,0,NM,5,0,10543,176436706,,4107
45005,0,HICKSVILLE,,NY,A,3,,,,8472,,,"FLAGSTAR BANK, N.A.",,3/12/2023,PA,NM,,59332,57053.0,,,,,44926,,,,,,2942690,"LCT not performed.  DRR will provide data when available. Signature Bridge Bank, N.A. (59332)  created with FIN 10541.",32541,45046,110363650,,0,,110363650.0,8013101,,8013101,,,,,,,,,,,,,NEW YORK,45046,,,,,,,,,,,,88612911.0,PASNN,10540,11/18/3453,FAILURE,"NEW YORK, NY",74091381.396,0,,2400000,,44997,,2023,,8746515,,,109259043.48,DIF,SIGNATURE BANK,1,1,,NY,,0,2400000.0,,109325874.14,NM,5,-74036752,10540,88612911,,4106
45011,0,RALEIGH,,CA,A,3,,,,8470,,,FIRST-CITIZENS BANK & TRUST,,3/7/2023,PA,SM,,59334,24735.0,,,,,44926,,,,,,802866,LCT not performed.  DRR will provide data when available.  Silicon Valley Bank to Silicon Valley Bridge Bank (59334)created with FIN 10542.,11063,45046,209026000,,0,,209026000.0,15456000,,15456000,,,,,,,,,,,,,SANTA CLARA,45046,,,,,,,,,,,,175378000.0,DTBNA,10539,7/11/8727,FAILURE,"SANTA CLARA, CA",125602555.11,0,,16100000,,44995,,2023,,18957345,,,165706295.78,DIF,SILICON VALLEY BANK,1,1,,NC,,0,16100000.0,,165846909.09,SM,5,-123307028,10539,175378000,,4105
44127,3,ANDOVER,,KS,A,10,24787,16806,16330,7602,18402,,EQUITY BANK,,10/23/2020,PA,NM,,,15426.0,,,,,44012,,,,,,224552,,25858,45046,65733,https://www.fdic.gov/news/press-releases/2020/pr20119.html,5,,65733.0,29,,29,,,,,,,18260,,,,,,ALMENA,45046,,,,,,,,,,,,64941.0,TASAN,10538,9/14/1944,FAILURE,"ALMENA, KS",62524.6455,4,,16330,,44127,,2020,,699,,,68016.61745,DIF,ALMENA STATE BANK,0,4,,KS,,0,16330.0,,68718.56824,NM,5,0,10538,64941,,4104
44120,8,EVANSVILLE,,FL,I,10,28165,7247,7247,44593,9271,44531,"UNITED FIDELITY BANK, FSB",,10/16/2020,PA,NM,,,16748.0,,,,,44012,,,,,,695134,,29566,45046,136566,https://www.fdic.gov/news/press-releases/2020/pr20112.html,19,,136566.0,2114,,2114,,,,,,,9957,,,,,,FORT WALTON BEACH,45046,,,,,,,,,,,,133936.0,TASNN,10537,1/0/1900,FAILURE,"FORT WALTON BEACH, FL",132164.62296,15,,7247,,44120,T,2020,,1422,,,134980.23252,DIF,FIRST CITY BANK OF FLORIDA,0,4,,IN,,0,7247.0,,135888.16054,NM,5,526,10537,133936,,4103
43924,1563,FAIRMONT,,WV,A,4,51715,45913,45328,7399,44377,,"MVB BANK, INC",,4/3/2020,PA,NM,,,14361.0,,,,,43830,,,,,,627425,,34603,45046,151808,https://www.fdic.gov/news/news/press/2020/pr20046.html,294,,151808.0,858,,858,,,,,,,46759,,,,,,BARBOURSVILLE,45046,,,,,,,,,,,,143102.0,TASNN,10536,6/9/2021,FAILURE,"BARBOURSVILLE, WV",144486.96712,0,,45328,,43924,,2020,,6800,,,145796.52966,DIF,THE FIRST STATE BANK,0,2,,WV,,,45328.0,,155584.77412,NM,5,-1130,10536,143102,,4102
43875,27076,MILFORD,,NE,A,2,16077,25293,24465,7350,24380,,FARMERS AND MERCHANTS BANK,,2/14/2020,PA,NM,,,18265.0,,,,,43830,,,,,,145956,,16810,45046,100879,https://www.fdic.gov/news/news/press/2020/pr20011.html,2891,,100879.0,3718,,3718,,,,,,,14102,,,,,,ERICSON,45046,,,,,,,,,,,,95159.0,PASAN,10535,1/13/1965,FAILURE,"ERICSON, NE",88990.75884,301,,24465,,43875,,2020,,55610,,,17650.83106,DIF,ERICSON STATE BANK,0,1,,NE,,0,24465.0,,98039.61349,NM,5,2586,10535,95159,,4101
43770,4700,WASHINGTON,,NJ,A,11,10307,1946,2136,7245,2630,,INDUSTRIAL BANK,,11/1/2019,PA,N,,,21111.0,,,,,43738,,,,,,567905,,14679,45046,120574,https://www.fdic.gov/news/news/press/2019/pr19101.html,95,,120574.0,3522,,3522,,,,,,2491,2491,,,,,,NEWARK,45046,,,,,,,,,,,,111234.0,TANNN,10534,8/31/1934,FAILURE,"NEWARK, NJ",110129.02975,131,,2136,,43770,,2019,,4185,,,110852.22012,DIF,CITY NATIONAL BANK OF NEW JERSEY,0,4,,DC,,0,2136.0,,129770.45317,N,5,-10070,10534,111234,,4100
43763,63,CATLETTSBURG,,KY,I,10,8527,4353,4264,44713,4528,44652,KENTUCKY FARMERS BANK CORPO,,10/25/2019,PA,NM,,,58112.0,,,,,43738,,,,,,3462449,,267,45046,28163,https://www.fdic.gov/news/news/press/2019/pr19096.html,28,,28163.0,1108,,1108,,,,,,4547,4547,,,,,,LOUISA,45046,,,,,,,,,,,,25174.0,TASNN,10532,1/0/1900,FAILURE,"LOUISA, KY",24507.34835,10,,4264,,43763,T,2019,,644,,,26697.61434,DIF,LOUISA COMMUNITY BANK,0,4,,KY,,0,4264.0,,27422.28698,NM,5,0,10532,25174,,4098
43763,0,POWELL,,OH,I,10,4454,1571,1571,44501,1648,44440,BUCKEYE STATE BANK,,10/25/2019,PA,SB,,,58317.0,,,,,43738,,,,,,3461264,,2286,45046,23292,https://www.fdic.gov/news/news/press/2019/pr19097.html,60,,23292.0,159,,159,,,,,,2188,2188,,,,,,MAUMEE,45046,,,,,,,,,,,,22885.0,TATNN,10533,1/0/1900,FAILURE,"MAUMEE, OH",21107.49276,0,,1571,,43763,T,2019,,38,,,21767.64403,DIF,RESOLUTE BANK,0,4,,OH,,0,1571.0,,21871.83214,SB,5,-6,10533,22885,,4099
